Time(s),Velocity (kmph)
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0.621118317
95,1.347742459
96,2.037206346
97,1.613358197
98,1.740990817
99,2.205195435
100,2.669400054
101,3.133604673
102,3.597809291
103,4.06201391
104,4.526218528
105,4.990423147
106,5.309493173
107,4.825105681
108,4.340718189
109,3.856330697
110,3.371943205
111,2.790146528
112,2.199764275
113,1.609382022
114,1.018999769
115,0.428617516
116,0.157617364
117,0.73286322
118,1.308109075
119,1.88335493
120,2.458600785
121,3.033846641
122,3.609092496
123,4.184338351
124,4.759584207
125,5.334830062
126,5.910075917
127,6.485321773
128,7.477645733
129,8.476751452
130,9.47585717
131,10.47496289
132,11.47406861
133,11.69524326
134,10.39956708
135,9.103890899
136,7.808214718
137,6.512538537
138,5.216862355
139,3.921186174
140,3.181580074
141,3.857783616
142,4.533987158
143,5.2101907
144,5.886394241
145,6.562597783
146,7.238801325
147,7.915004866
148,8.591208408
149,9.111036451
150,9.595368215
151,10.07969998
152,10.56403174
153,11.04836351
154,11.52503432
155,11.96403498
156,12.40303564
157,12.84203631
158,13.28103697
159,13.72003764
160,13.91767074
161,13.89604629
162,13.87442184
163,13.85279739
164,13.83117294
165,13.80954849
166,13.78792404
167,13.76629959
168,13.74467513
169,13.72305068
170,13.70142623
171,13.67980178
172,13.65817733
173,13.63655288
174,13.61492843
175,13.59330398
176,13.57167953
177,13.55005508
178,13.52843063
179,13.50680618
180,12.72874763
181,11.7196113
182,10.71047497
183,9.701338647
184,8.636308047
185,7.522107297
186,6.407906547
187,5.293705798
188,4.179505048
189,3.065304298
190,1.951103549
191,1.667835398
192,2.299291368
193,2.930747338
194,3.562203308
195,4.193659278
196,4.825115248
197,5.456571218
198,6.088027189
199,6.719483159
200,7.350939129
201,8.328366407
202,9.539338806
203,10.7503112
204,11.9612836
205,13.89783912
206,17.10766307
207,17.88423772
208,18.53812752
209,19.19201733
210,19.84590713
211,20.49979694
212,21.15368674
213,21.80757655
214,21.65945812
215,21.41724934
216,21.17504056
217,20.93283178
218,20.69062299
219,20.54933216
220,20.71079514
221,20.87225813
222,21.03372111
223,21.19124434
224,21.10647207
225,21.02169979
226,20.93692752
227,20.85215525
228,20.76738298
229,20.68261071
230,20.59783844
231,20.51306617
232,20.42829389
233,20.34352162
234,20.25874935
235,20.17397708
236,20.08920481
237,20.00443254
238,20.10557125
239,20.22668047
240,20.34778969
241,20.46889891
242,20.59000813
243,20.71111735
244,20.83222658
245,20.9533358
246,21.07444502
247,21.19555424
248,21.31666346
249,21.43777268
250,21.27148734
251,19.96985123
252,18.66821512
253,17.366579
254,16.06494289
255,14.76330678
256,13.08779898
257,11.11373179
258,9.139664599
259,7.165597407
260,5.191530215
261,3.217463023
262,1.243395831
263,0.250685732
264,0.239332726
265,0.22797972
266,0.216626713
267,0.205273707
268,0.193920701
269,0.182567694
270,0.171214688
271,0.159861682
272,0.148508676
273,0.137155669
274,0.125802663
275,0.114449657
276,0.10309665
277,0.091743644
278,0.080390638
279,0.069037631
280,0.057684625
281,0.046331619
282,0.034978612
283,0.023625606
284,0.0122726
285,0.000919594
286,1.269750823
287,2.651416572
288,4.033082321
289,5.41474807
290,6.796413818
291,8.178079567
292,9.559745316
293,10.94141106
294,12.32307681
295,13.70474256
296,15.08640831
297,16.46807406
298,17.84973981
299,19.23140556
300,20.61307131
301,21.44897908
302,21.44897908
303,21.44897908
304,21.44897908
305,21.44897908
306,21.44897908
307,21.44897908
308,21.40382331
309,21.27062044
310,21.13741756
311,21.00421469
